0610010F05Rik	KIAA1841
2810006K23Rik	C12orf65
2810459M11Rik	C2orf72
2900026A02Rik	KIAA1671
2900092C05Rik	C19orf18
3110001I22Rik	PPHLN1
3110009E18Rik	C2orf76
3110040N11Rik	C15orf40
3110082I17Rik	C7orf50
3425401B19Rik	C10orf71
3830403N18Rik	SYCP3
3830406C13Rik	C3orf14
3830417A13Rik	MAGEA10
4430402I18Rik	SPATA6L
4833420G17Rik	C5orf34
4833427G06Rik	C11orf88
4833439L19Rik	KIAA1191
4921504E06Rik	C10orf67
4921507P07Rik	C7orf31
4921524J17Rik	C16orf87
4921536K21Rik	C5orf52
4921539E11Rik	C1orf141
4930402H24Rik	C20orf194
4930404N11Rik	C19orf71
4930415L06Rik	PPP4R3C
4930415O20Rik	TEX49
4930430F08Rik	C12orf29
4930432K21Rik	C19orf57
4930433I11Rik	C2orf78
4930444P10Rik	C8orf89
4930447C04Rik	C14orf39
4930451I11Rik	C16orf92
4930452B06Rik	C3orf67
4930453N24Rik	C3orf38
4930467E23Rik	POTEA
4930503L19Rik	C18orf54
4930505A04Rik	C2orf73
4930522H14Rik	C1orf185
4930523C07Rik	KIAA0040
4930524B15Rik	C5orf47
4930539E08Rik	BNIP5
4930544D05Rik	C17orf107
4930550C14Rik	C11orf65
4930558C23Rik	CTXND2
4930558K02Rik	C1orf105
4930562C15Rik	C16orf96
4930563E22Rik	C17orf100
4930578I06Rik	C8orf74
4930579F01Rik	C4orf17
4930579G24Rik	C4orf46
4930590J08Rik	C3orf20
4931406C07Rik	C11orf54
4931406P16Rik	KIAA0355
4931414P19Rik	C14orf93
4931417E11Rik	JKAMP
4931428F04Rik	KIAA0895L
4931428L18Rik	ALYREF
4932411N23Rik	DMTF1
4932415D10Rik	C2orf16
4932429P05Rik	PPP4R3C
4932438A13Rik	KIAA1109
4932438H23Rik	C21orf62
4933400A11Rik	CAPZA1
4933402E13Rik	MAGEA10
4933402J07Rik	C16orf78
4933402N03Rik	C10orf120
4933405L10Rik	C16orf86
4933411K16Rik	C10orf62
4933412E24Rik	CXorf49B
4933412E24Rik	CXorf49
4933417A18Rik	C6orf201
4933424G06Rik	C2orf92
4933427D14Rik	KIAA0753
4933430I17Rik	C9orf43
4933434E20Rik	C1orf43
5031439G07Rik	KIAA0930
5330417C22Rik	KIAA1324
5430401F13Rik	LPA
5430427O19Rik	CXorf21
5730409E04Rik	C1orf216
5730455P16Rik	C17orf75
5730480H06Rik	PACRGL
6030458C11Rik	C5orf22
6030468B19Rik	C17orf99
6430548M08Rik	KIAA0513
6430550D23Rik	C20orf173
6430571L13Rik	C3orf18
6430628N08Rik	TMEM275
6820408C15Rik	C20orf96
7420426K07Rik	PRR23B
7420426K07Rik	PRR23A
7420426K07Rik	PRR23C
8030462N17Rik	C18orf25
8030474K03Rik	CXorf49B
8030474K03Rik	CXorf49
9030025P20Rik	ERMARD
9130008F23Rik	C6orf141
9130401M01Rik	C8orf76
9130401M01Rik	ZHX1-C8orf76
9130409I23Rik	DEGS1
9330159F19Rik	KIAA0408
9330182L06Rik	KIAA1324L
9430015G10Rik	C1orf159
9530003J23Rik	LYZ
9530068E07Rik	C5orf15
9530077C05Rik	KIAA0895
9930012K11Rik	C8orf58
9930021J03Rik	KIAA2026
9930104L06Rik	C1orf109
a	ASIP
A130010J15Rik	C1orf74
A1bg	A1BG
A1cf	A1CF
A26c2	POTEA
A26c3	POTEA
A2m	A2M
A3galt2	A3GALT2
A430005L14Rik	C1orf174
A430033K04Rik	ZNF713
A430089I19Rik	PRAMEF1
A430089I19Rik	PRAMEF12
A430089I19Rik	PRAMEF2
A430089I19Rik	PRAMEF8
A430089I19Rik	PRAMEF10
A430089I19Rik	PRAMEF20
A430089I19Rik	PRAMEF17
A430089I19Rik	PRAMEF19
A430089I19Rik	PRAMEF14
A430089I19Rik	PRAMEF15
A430089I19Rik	PRAMEF9
A430089I19Rik	PRAMEF7
A430089I19Rik	PRAMEF25
A430089I19Rik	PRAMEF6
A430089I19Rik	PRAMEF33
A430089I19Rik	PRAMEF11
A430089I19Rik	PRAMEF4
A430089I19Rik	PRAMEF5
A430089I19Rik	PRAMEF27
A430089I19Rik	PRAMEF13
A430089I19Rik	PRAMEF18
A430089I19Rik	PRAMEF26
A4galt	A4GALT
A4gnt	A4GNT
A530016L24Rik	C14orf180
A730046J19Rik	SERTM2
A830018L16Rik	C8orf34
A930017K11Rik	PRR35
A930018P22Rik	C11orf91
AA467197	C15orf48
AA792892	PRAMEF1
AA792892	PRAMEF12
AA792892	PRAMEF2
AA792892	PRAMEF8
AA792892	PRAMEF10
AA792892	PRAMEF20
AA792892	PRAMEF17
AA792892	PRAMEF19
AA792892	PRAMEF14
AA792892	PRAMEF15
AA792892	PRAMEF9
AA792892	PRAMEF7
AA792892	PRAMEF25
AA792892	PRAMEF6
AA792892	PRAMEF33
AA792892	PRAMEF11
AA792892	PRAMEF4
AA792892	PRAMEF5
AA792892	PRAMEF27
AA792892	PRAMEF13
AA792892	PRAMEF18
AA792892	PRAMEF26
AA986860	C1orf116
Aaas	AAAS
Aacs	AACS
Aadac	AADAC
Aadacl2	AADACL2
Aadacl3	AADACL3
Aadacl4	AADACL4
Aadacl4fm1	AADACL4
AAdacl4fm3	AADACL4
Aadacl4fm4	AADACL4
Aadacl4fm5	AADACL4
Aadat	AADAT
Aagab	AAGAB
Aak1	AAK1
Aamdc	AAMDC
Aamp	AAMP
Aanat	AANAT
Aar2	AAR2
Aard	AARD
Aars	AARS1
Aars2	AARS2
Aarsd1	PTGES3L-AARSD1
Aarsd1	AARSD1
Aasdh	AASDH
Aasdhppt	AASDHPPT
Aass	AASS
Aatf	AATF
Aatk	AATK
AB124611	C19orf38
Abat	ABAT
Abca1	ABCA1
Abca12	ABCA12
Abca13	ABCA13
Abca2	ABCA2
Abca3	ABCA3
Abca4	ABCA4
Abca5	ABCA5
Abca6	ABCA6
Abca7	ABCA7
Abca8b	ABCA8
Abca9	ABCA9
Abcb10	ABCB10
Abcb11	ABCB11
Abcb1a	ABCB1
Abcb1b	ABCB1
Abcb4	ABCB4
Abcb5	ABCB5
Abcb6	ABCB6
Abcb7	ABCB7
Abcb8	ABCB8
Abcb9	ABCB9
Abcc1	ABCC1
Abcc10	ABCC10
Abcc12	ABCC12
Abcc2	ABCC2
Abcc3	ABCC3
Abcc4	ABCC4
Abcc5	ABCC5
Abcc6	ABCC6
Abcc8	ABCC8
Abcc9	ABCC9
Abcd1	ABCD1
Abcd2	ABCD2
Abcd3	ABCD3
Abcd4	ABCD4
Abce1	ABCE1
Abcf1	ABCF1
Abcf2	ABCF2
Abcf3	ABCF3
Abcg1	ABCG1
Abcg3	ABCG2
Abcg4	ABCG4
Abcg5	ABCG5
Abcg8	ABCG8
Abhd1	ABHD1
Abhd10	ABHD10
Abhd11	ABHD11
Abhd12	ABHD12
Abhd12b	ABHD12B
Abhd13	ABHD13
Abhd14a	ABHD14A
Abhd14b	ABHD14B
Abhd15	ABHD15
Abhd16a	ABHD16A
Abhd16b	ABHD16B
Abhd17a	ABHD17A
Abhd17b	ABHD17B
Abhd17c	ABHD17C
Abhd18	ABHD18
Abhd2	ABHD2
Abhd3	ABHD3
Abhd4	ABHD4
Abhd5	ABHD5
Abhd6	ABHD6
Abhd8	ABHD8
Abi1	ABI1
Abi2	ABI2
Abi3	ABI3
Abi3bp	ABI3BP
Abitram	ABITRAM
Abl1	ABL1
Abl2	ABL2
Ablim1	ABLIM1
Ablim2	ABLIM2
Ablim3	ABLIM3
Abo	ABO
Abr	ABR
Abra	ABRA
Abracl	ABRACL
Abraxas1	ABRAXAS1
Abraxas2	ABRAXAS2
Abt1	ABT1
Abtb1	ABTB1
Abtb2	ABTB2
Acaa1a	ACAA1
Acaa1b	ACAA1
Acaa2	ACAA2
Acaca	ACACA
Acacb	ACACB
Acad10	ACAD10
Acad11	ACAD11
Acad12	ACAD10
Acad8	ACAD8
Acad9	ACAD9
Acadl	ACADL
Acadm	ACADM
Acads	ACADS
Acadsb	ACADSB
Acadvl	ACADVL
Acan	ACAN
Acap1	ACAP1
Acap2	ACAP2
Acap3	ACAP3
Acat1	ACAT1
Acat2	ACAT2
Acat3	ACAT2
Acbd3	ACBD3
Acbd4	ACBD4
Acbd5	ACBD5
Acbd6	ACBD6
Acbd7	ACBD7
Accs	ACCS
Accsl	ACCSL
Acd	ACD
Ace	ACE
Ace2	ACE2
Acer1	ACER1
Acer2	ACER2
Acer3	ACER3
Ache	ACHE
Acin1	ACIN1
Ackr1	ACKR1
Ackr2	ACKR2
Ackr3	ACKR3
Ackr4	ACKR4
Acly	ACLY
Acmsd	ACMSD
Aco1	ACO1
Aco2	ACO2
Acod1	ACOD1
Acot1	ACOT2
Acot1	ACOT1
Acot10	ACOT9
Acot11	ACOT11
Acot12	ACOT12
Acot13	ACOT13
Acot2	ACOT2
Acot2	ACOT1
Acot3	ACOT2
Acot3	ACOT1
Acot4	ACOT4
Acot5	ACOT2
Acot5	ACOT1
Acot6	ACOT6
Acot7	ACOT7
Acot8	ACOT8
Acot9	ACOT9
Acox1	ACOX1
Acox2	ACOX2
Acox3	ACOX3
Acoxl	ACOXL
Acp2	ACP2
Acp4	ACP4
Acp5	ACP5
Acp6	ACP6
Acp7	ACP7
Acpp	ACPP
Acr	ACR
Acrbp	ACRBP
Acrv1	ACRV1
Acsbg1	ACSBG1
Acsbg2	ACSBG2
Acsf2	ACSF2
Acsf3	ACSF3
Acsl1	ACSL1
Acsl3	ACSL3
Acsl4	ACSL4
Acsl5	ACSL5
Acsl6	ACSL6
Acsm1	ACSM1
Acsm2	ACSM2B
Acsm2	ACSM2A
Acsm3	ACSM3
Acsm4	ACSM4
Acsm5	ACSM5
Acss1	ACSS1
Acss2	ACSS2
Acss3	ACSS3
Acta1	ACTA1
Acta2	ACTA2
Actb	ACTB
Actbl2	ACTBL2
Actc1	ACTC1
Actg1	ACTG1
Actg2	ACTG2
Actl10	ACTL10
Actl6a	ACTL6A
Actl6b	ACTL6B
Actl7a	ACTL7A
Actl7b	ACTL7B
Actl9	ACTL9
Actn1	ACTN1
Actn2	ACTN2
Actn3	ACTN3
Actn4	ACTN4
Actr10	ACTR10
Actr1a	ACTR1A
Actr1b	ACTR1B
Actr2	ACTR2
Actr3	ACTR3
Actr3b	ACTR3B
Actr5	ACTR5
Actr6	ACTR6
Actr8	ACTR8
Actrt1	ACTRT1
Actrt2	ACTRT2
Actrt3	ACTRT3
Acvr1	ACVR1
Acvr1b	ACVR1B
Acvr1c	ACVR1C
Acvr2a	ACVR2A
Acvr2b	ACVR2B
Acvrl1	ACVRL1
Acy1	ABHD14A-ACY1
Acy1	ACY1
Acy3	ACY3
Acyp1	ACYP1
Acyp2	ACYP2
Ada	ADA
Adad1	ADAD1
Adad2	ADAD2
Adal	ADAL
Adam10	ADAM10
Adam11	ADAM11
Adam12	ADAM12
Adam15	ADAM15
Adam17	ADAM17
Adam18	ADAM18
Adam2	ADAM2
Adam20	ADAM20
Adam21	ADAM21
Adam22	ADAM22
Adam23	ADAM23
Adam25	ADAM20
Adam28	ADAM28
Adam29	ADAM29
Adam30	ADAM30
Adam32	ADAM32
Adam33	ADAM33
Adam39	ADAM20
Adam7	ADAM7
Adam8	ADAM8
Adam9	ADAM9
Adamdec1	ADAMDEC1
Adamts1	ADAMTS1
Adamts10	ADAMTS10
Adamts12	ADAMTS12
Adamts13	ADAMTS13
Adamts14	ADAMTS14
Adamts15	ADAMTS15
Adamts16	ADAMTS16
Adamts17	ADAMTS17
Adamts18	ADAMTS18
Adamts19	ADAMTS19
Adamts2	ADAMTS2
Adamts20	ADAMTS20
Adamts3	ADAMTS3
Adamts4	ADAMTS4
Adamts5	ADAMTS5
Adamts6	ADAMTS6
Adamts7	ADAMTS7
Adamts8	ADAMTS8
Adamts9	ADAMTS9
Adamtsl1	ADAMTSL1
Adamtsl2	ADAMTSL2
Adamtsl3	ADAMTSL3
Adamtsl4	ADAMTSL4
Adamtsl5	ADAMTSL5
Adap1	ADAP1
Adap2	ADAP2
Adar	ADAR
Adarb1	ADARB1
Adarb2	ADARB2
Adat1	ADAT1
Adat2	ADAT2
Adat3	ADAT3
Adck1	ADCK1
Adck2	ADCK2
Adck5	ADCK5
Adcy1	ADCY1
Adcy10	ADCY10
Adcy2	ADCY2
Adcy3	ADCY3
Adcy4	ADCY4
Adcy5	ADCY5
Adcy6	ADCY6
Adcy7	ADCY7
Adcy8	ADCY8
Adcy9	ADCY9
Adcyap1	ADCYAP1
Adcyap1r1	ADCYAP1R1
Add1	ADD1
Add2	ADD2
Add3	ADD3
Adgb	ADGB
Adgra1	ADGRA1
Adgra2	ADGRA2
Adgra3	ADGRA3
Adgrb1	ADGRB1
Adgrb2	ADGRB2
Adgrb3	ADGRB3
Adgrd1	ADGRD1
Adgre1	ADGRE1
Adgre5	ADGRE5
Adgrf1	ADGRF1
Adgrf2	ADGRF2
Adgrf3	ADGRF3
Adgrf4	ADGRF4
Adgrf5	ADGRF5
Adgrg1	ADGRG1
Adgrg2	ADGRG2
Adgrg3	ADGRG3
Adgrg4	ADGRG4
Adgrg5	ADGRG5
Adgrg6	ADGRG6
Adgrg7	ADGRG7
Adgrl1	ADGRL1
Adgrl2	ADGRL2
Adgrl3	ADGRL3
Adgrl4	ADGRL4
Adgrv1	ADGRV1
Adh1	ADH1A
Adh1	ADH1B
Adh1	ADH1C
Adh4	ADH4
Adh5	ADH5
Adh6b	ADH6
Adh7	ADH7
Adhfe1	ADHFE1
Adi1	ADI1
Adig	ADIG
Adipoq	ADIPOQ
Adipor1	ADIPOR1
Adipor2	ADIPOR2
Adk	ADK
Adm	ADM
Adm2	ADM2
Adnp	ADNP
Adnp2	ADNP2
Ado	ADO
Adora1	ADORA1
Adora2a	ADORA2A
Adora2b	ADORA2B
Adora3	ADORA3
Adpgk	ADPGK
Adprh	ADPRH
Adprhl1	ADPRHL1
Adprhl2	ADPRHL2
Adprm	ADPRM
Adra1a	ADRA1A
Adra1b	ADRA1B
Adra1d	ADRA1D
Adra2a	ADRA2A
Adra2b	ADRA2B
Adra2c	ADRA2C
Adrb1	ADRB1
Adrb2	ADRB2
Adrb3	ADRB3
Adrm1	ADRM1
Adsl	ADSL
Adss	ADSS2
Adssl1	ADSS1
Adtrp	ADTRP
Aebp1	AEBP1
Aebp2	AEBP2
Aen	AEN
AF357341	SNORD114-10
AF357425	SNORD113-6
AF357428	SNORD114-10
Afap1	AFAP1
Afap1l1	AFAP1L1
Afap1l2	AFAP1L2
Afdn	AFDN
Aff1	AFF1
Aff2	AFF2
Aff3	AFF3
Aff4	AFF4
Afg1l	AFG1L
Afg3l2	AFG3L2
Afm	AFM
Afmid	AFMID
Afp	AFP
Aftph	AFTPH
Aga	AGA
Agap1	AGAP1
Agap2	AGAP2
Agap3	AGAP3
Agbl1	AGBL1
Agbl2	AGBL2
Agbl3	AGBL3
Agbl4	AGBL4
Agbl5	AGBL5
Ager	AGER
Agfg1	AGFG1
Agfg2	AGFG2
Aggf1	AGGF1
Agk	AGK
Agl	AGL
Agmat	AGMAT
Agmo	AGMO
Ago1	AGO1
Ago2	AGO2
Ago3	AGO3
Ago4	AGO4
Agpat1	AGPAT1
Agpat2	AGPAT2
Agpat3	AGPAT3
Agpat4	AGPAT4
Agpat5	AGPAT5
Agps	AGPS
Agr2	AGR2
Agr3	AGR3
Agrn	AGRN
Agrp	AGRP
Agt	AGT
Agtpbp1	AGTPBP1
Agtr1a	AGTR1
Agtr1b	AGTR1
Agtr2	AGTR2
Agtrap	AGTRAP
Agxt	AGXT
Agxt2	AGXT2
Ahctf1	AHCTF1
Ahcy	AHCY
Ahcyl1	AHCYL1
Ahcyl2	AHCYL2
Ahdc1	AHDC1
Ahi1	AHI1
Ahnak	AHNAK
Ahnak2	AHNAK2
Ahr	AHR
Ahrr	AHRR
Ahsa1	AHSA1
Ahsg	AHSG
AI182371	C5
AI429214	C8orf48
AI467606	C16orf54
AI593442	C11orf87
AI597479	C2orf49
AI661453	C6orf132
AI837181	C11orf68
Aicda	AICDA
Aida	AIDA
Aif1	AIF1
Aif1l	AIF1L
Aifm1	AIFM1
Aifm2	AIFM2
Aifm3	AIFM3
Aig1	AIG1
Aim2	AIM2
Aimp1	AIMP1
Aimp2	AIMP2
Aip	AIP
Aipl1	AIPL1
Aire	AIRE
Ajap1	AJAP1
Ajm1	AJM1
Ajuba	AJUBA
Ak1	AK1
AK157302	ISCA1
Ak2	AK2
Ak3	AK3
Ak4	AK4
Ak5	AK5
Ak6	TAF9
Ak7	AK7
Ak8	AK8
Ak9	AK9
Akain1	AKAIN1
Akap1	AKAP1
Akap10	AKAP10
Akap11	AKAP11
Akap12	AKAP12
Akap13	AKAP13
Akap14	AKAP14
Akap3	AKAP3
Akap4	AKAP4
Akap5	AKAP5
Akap6	AKAP6
Akap7	AKAP7
Akap8	AKAP8
Akap8l	AKAP8L
Akap9	AKAP9
Akip1	AKIP1
Akirin1	AKIRIN1
Akirin2	AKIRIN2
Akna	AKNA
Aknad1	AKNAD1
Akp3	ALPP
Akp3	ALPG
Akp3	ALPI
Akr1a1	AKR1A1
Akr1b10	AKR1B10
Akr1b3	AKR1B1
Akr1b7	AKR1B10
Akr1b8	AKR1B10
Akr1d1	AKR1D1
Akr1e1	AKR1E2
Akr7a5	AKR7L
Akt1	AKT1
Akt1s1	AKT1S1
Akt2	AKT2
Akt3	AKT3
Aktip	AKTIP
Alad	ALAD
Alas1	ALAS1
Alas2	ALAS2
Alb	ALB
Alcam	ALCAM
Aldh16a1	ALDH16A1
Aldh18a1	ALDH18A1
Aldh1a1	ALDH1A1
Aldh1a2	ALDH1A2
Aldh1a3	ALDH1A3
Aldh1a7	ALDH1A1
Aldh1b1	ALDH1B1
Aldh1l1	ALDH1L1
Aldh1l2	ALDH1L2
Aldh2	ALDH2
Aldh3a1	ALDH3A1
Aldh3a2	ALDH3A2
Aldh3b1	ALDH3B1
Aldh3b2	ALDH3B2
Aldh3b3	ALDH3B2
Aldh4a1	ALDH4A1
Aldh5a1	ALDH5A1
Aldh6a1	ALDH6A1
Aldh7a1	ALDH7A1
Aldh8a1	ALDH8A1
Aldh9a1	ALDH9A1
Aldoa	ALDOA
Aldoart1	ALDOA
Aldoart2	ALDOA
Aldob	ALDOB
Aldoc	ALDOC
Alg1	ALG1
Alg1	ALG1L
Alg1	ALG1L2
Alg10b	ALG10
Alg10b	ALG10B
Alg11	ALG11
Alg12	ALG12
Alg14	ALG14
Alg2	ALG2
Alg3	ALG3
Alg5	ALG5
Alg6	ALG6
Alg8	ALG8
Alg9	ALG9
Alk	ALK
Alkal1	ALKAL1
Alkal2	ALKAL2
Alkbh1	ALKBH1
Alkbh2	ALKBH2
Alkbh3	ALKBH3
Alkbh4	ALKBH4
Alkbh5	ALKBH5
Alkbh6	ALKBH6
Alkbh7	ALKBH7
Alkbh8	ALKBH8
Allc	ALLC
Alms1	ALMS1
Alox12	ALOX12
Alox12b	ALOX12B
Alox15	ALOX15
Alox5	ALOX5
Alox5ap	ALOX5AP
Alox8	ALOX15B
Aloxe3	ALOXE3
Alpi	ALPP
Alpi	ALPG
Alpi	ALPI
Alpk1	ALPK1
Alpk2	ALPK2
Alpk3	ALPK3
Alpl	ALPL
Alppl2	ALPP
Alppl2	ALPG
Alppl2	ALPI
Als2	ALS2
Als2cl	ALS2CL
Alx1	ALX1
Alx3	ALX3
Alx4	ALX4
Alyref	ALYREF
Alyref2	ALYREF
Amacr	AMACR
Ambn	AMBN
Ambp	AMBP
Ambra1	AMBRA1
Amd1	AMD1
Amd2	AMD1
Amdhd1	AMDHD1
Amdhd2	AMDHD2
Amelx	AMELX
Amer1	AMER1
Amer2	AMER2
Amer3	AMER3
Amfr	AMFR
Amh	AMH
Amhr2	AMHR2
Amigo1	AMIGO1
Amigo2	AMIGO2
Amigo3	AMIGO3
Ammecr1	AMMECR1
Ammecr1l	AMMECR1L
Amn	AMN
Amn1	AMN1
Amot	AMOT
Amotl1	AMOTL1
Amotl2	AMOTL2
Ampd1	AMPD1
Ampd2	AMPD2
Ampd3	AMPD3
Amph	AMPH
Amt	AMT
Amtn	AMTN
Amz1	AMZ1
Amz2	AMZ2
Anapc1	ANAPC1
Anapc10	ANAPC10
Anapc13	ANAPC13
Anapc15	ANAPC15
Anapc15-ps	ANAPC15
Anapc16	ANAPC16
Anapc2	ANAPC2
Anapc4	ANAPC4
Anapc5	ANAPC5
Anapc7	ANAPC7
Ang	ANG
Ang2	ANG
Ang4	ANG
Ang5	ANG
Ang6	ANG
Angel1	ANGEL1
Angel2	ANGEL2
Angpt1	ANGPT1
Angpt2	ANGPT2
Angpt4	ANGPT4
Angptl1	ANGPTL1
Angptl2	ANGPTL2
Angptl3	ANGPTL3
Angptl4	ANGPTL4
Angptl6	ANGPTL6
Angptl7	ANGPTL7
Angptl8	ANGPTL8
Ank	ANKH
Ank1	ANK1
Ank2	ANK2
Ank3	ANK3
Ankar	ANKAR
Ankdd1a	ANKDD1A
Ankef1	ANKEF1
Ankfy1	ANKFY1
Ankhd1	ANKHD1
Ankhd1	ANKHD1-EIF4EBP3
Ankib1	ANKIB1
Ankk1	ANKK1
Ankle1	ANKLE1
Ankle2	ANKLE2
Ankmy1	ANKMY1
Ankmy2	ANKMY2
Ankra2	ANKRA2
Ankrd1	ANKRD1
Ankrd10	ANKRD10
Ankrd11	ANKRD11
Ankrd12	ANKRD12
Ankrd13a	ANKRD13A
Ankrd13b	ANKRD13B
Ankrd13c	ANKRD13C
Ankrd13d	ANKRD13D
Ankrd16	ANKRD16
Ankrd17	ANKRD17
Ankrd2	ANKRD2
Ankrd22	ANKRD22
Ankrd23	ANKRD23
Ankrd24	ANKRD24
Ankrd26	ANKRD62
Ankrd27	ANKRD27
Ankrd28	ANKRD28
Ankrd29	ANKRD29
Ankrd31	ANKRD31
Ankrd33	ANKRD33
Ankrd33b	ANKRD33B
Ankrd34a	ANKRD34A
Ankrd34b	ANKRD34B
Ankrd34c	ANKRD34C
Ankrd35	ANKRD35
Ankrd37	ANKRD37
Ankrd39	ANKRD39
Ankrd40	ANKRD40
Ankrd42	ANKRD42
Ankrd44	ANKRD44
Ankrd45	ANKRD45
Ankrd46	ANKRD46
Ankrd49	ANKRD49
Ankrd50	ANKRD50
Ankrd52	ANKRD52
Ankrd53	ANKRD53
Ankrd54	ANKRD54
Ankrd55	ANKRD55
Ankrd6	ANKRD6
Ankrd60	ANKRD60
Ankrd61	ANKRD61
Ankrd63	ANKRD63
Ankrd65	ANKRD65
Ankrd66	ANKRD66
Ankrd7	POTEA
Ankrd9	ANKRD9
Anks1	ANKS1A
Anks1b	ANKS1B
Anks3	ANKS3
Anks4b	ANKS4B
Anks6	ANKS6
Ankub1	ANKUB1
Ankzf1	ANKZF1
Anln	ANLN
Ano1	ANO1
Ano10	ANO10
Ano2	ANO2
Ano3	ANO3
Ano4	ANO4
Ano5	ANO5
Ano6	ANO6
Ano7	ANO7
Ano8	ANO8
Ano9	ANO9
Anp32a	ANP32D
Anp32a	ANP32A
Anp32b	ANP32B
Anp32e	ANP32E
Anpep	ANPEP
Antxr1	ANTXR1
Antxr2	ANTXR2
Antxrl	ANTXRL
Anxa1	ANXA1
Anxa10	ANXA10
Anxa11	ANXA11
Anxa2	ANXA2
Anxa3	ANXA3
Anxa4	ANXA4
Anxa5	ANXA5
Anxa6	ANXA6
Anxa7	ANXA7
Anxa8	ANXA8L1
Anxa8	ANXA8
Anxa9	ANXA9
Aoah	AOAH
Aoc1	AOC1
Aoc2	AOC2
Aoc3	AOC3
Aopep	AOPEP
Aox1	AOX1
Ap1ar	AP1AR
Ap1b1	AP1B1
Ap1g1	AP1G1
Ap1g2	AP1G2
Ap1m1	AP1M1
Ap1m2	AP1M2
Ap1s1	AP1S1
